Team,Dominance
BOS,71.06348801936794
MIL,67.64083248995158
PHO,64.92119351356817
MEM,63.93576815079846
CLE,62.404681646997325
DEN,61.39329466979171
NOP,60.43175138705309
DAL,60.04823471642684
BRK,58.148153133115954
GSW,58.10288325545245
PHI,57.05993644012207
ATL,54.61020273187679
MIN,54.176797811382045
MIA,54.15433355053715
NYK,53.42729514490794
LAC,50.526203340199245
TOR,50.05551461151341
UTA,49.30259787267114
SAC,49.2168304719516
POR,46.00366885177797
LAL,44.35616549151154
CHI,44.04650959259952
WAS,42.307801452621604
IND,41.489726747075714
OKC,33.870987351039595
CHO,32.554725079399674
SAS,31.894703954640992
ORL,31.757475682163925
HOU,27.140450302454834
DET,26.112309051695764
